timestamp,NOx,O3,SO2,NH3,PM2.5,PM10,NO,NO2,CO
2020-11-25 01:00:00,,13.59,38.62,28.63,364.61,411.73,2.18,70.6,2616.88
2020-11-25 02:00:00,,0.33,54.36,41.04,420.96,486.21,23.25,89.11,3631.59
2020-11-25 03:00:00,,1.11,68.67,49.14,463.68,541.95,52.75,100.08,4539.49
2020-11-25 04:00:00,,6.44,78.2,48.13,454.81,534.0,50.96,111.04,4539.49
2020-11-25 05:00:00,,17.17,87.74,46.61,448.14,529.19,42.92,117.9,4379.27
2020-11-25 06:00:00,,40.05,101.09,42.05,437.25,511.79,28.39,117.9,3898.62
2020-11-25 07:00:00,,83.69,185.01,12.79,312.76,349.2,14.53,105.56,1949.31
2020-11-25 08:00:00,,87.98,217.44,6.59,275.53,303.47,11.62,112.41,1508.71
2020-11-25 09:00:00,,95.84,213.62,6.02,263.51,289.86,7.04,109.67,1361.85
2020-11-25 10:00:00,,104.43,152.59,12.16,271.25,302.27,3.1,93.22,1602.17
2020-11-25 11:00:00,,86.55,103.95,21.28,284.51,324.34,1.27,94.59,2136.23
2020-11-25 12:00:00,,50.78,82.02,27.87,287.83,336.0,0.19,109.67,2590.18
2020-11-25 13:00:00,,19.67,69.62,35.47,295.37,354.19,0.6,120.64,3017.43
2020-11-25 14:00:00,,3.0,65.8,46.1,325.89,402.37,6.65,117.9,3471.37
2020-11-25 15:00:00,,0.25,63.9,50.66,363.16,456.38,16.09,105.56,3898.62
2020-11-25 16:00:00,,0.08,59.61,42.05,387.52,490.96,19.67,98.71,4058.84
2020-11-25 17:00:00,,0.11,52.93,31.92,394.51,498.87,18.11,91.85,3898.62
2020-11-25 18:00:00,,0.31,42.92,20.52,369.0,461.24,13.19,83.63,3417.97
2020-11-25 19:00:00,,0.89,33.85,12.16,327.49,400.17,7.15,74.71,2803.8
2020-11-25 20:00:00,,1.4,30.99,9.63,303.81,365.32,4.75,65.8,2456.67
2020-11-25 21:00:00,,1.39,30.52,8.74,285.16,340.62,4.25,58.26,2269.75
2020-11-25 22:00:00,,0.83,30.99,7.92,272.18,320.68,5.42,53.47,2162.93
2020-11-25 23:00:00,,0.31,31.47,7.09,264.01,305.06,8.16,49.35,2136.23
2020-11-26 00:00:00,,0.07,33.38,7.28,260.05,296.45,13.19,46.61,2189.64
2020-11-26 01:00:00,,0.01,39.1,10.26,268.08,305.4,23.92,45.93,2483.37
2020-11-26 02:00:00,,0.02,53.88,17.48,309.14,359.04,47.83,51.41,3284.45
2020-11-26 03:00:00,,1.1,73.43,23.81,337.8,398.42,67.06,60.32,3791.81
2020-11-26 04:00:00,,8.58,96.32,24.83,300.52,353.24,46.94,71.29,3097.53
2020-11-26 05:00:00,,20.74,103.95,28.37,264.39,315.31,34.42,72.66,2643.59
2020-11-26 06:00:00,,33.26,108.72,26.6,208.0,253.85,23.69,67.86,2109.53
2020-11-26 07:00:00,,66.52,90.6,12.79,115.32,139.51,9.95,49.35,1094.82
2020-11-26 08:00:00,,82.25,83.92,10.13,92.77,111.59,7.49,42.5,894.55
2020-11-26 09:00:00,,85.12,92.51,10.64,88.53,107.12,7.26,44.55,881.2
2020-11-26 10:00:00,,67.23,100.14,17.23,106.99,132.1,9.16,63.06,1308.44
2020-11-26 11:00:00,,30.76,95.37,26.85,138.22,175.22,11.51,91.85,2056.12
2020-11-26 12:00:00,,2.26,84.88,33.44,155.65,203.84,23.92,106.93,2670.29
2020-11-26 13:00:00,,0.0,74.39,41.04,169.52,227.04,42.92,94.59,3097.53
2020-11-26 14:00:00,,0.0,69.62,50.16,202.21,276.96,52.75,85.0,3578.19
2020-11-26 15:00:00,,0.0,64.85,49.14,234.37,325.87,53.64,85.0,3952.03
2020-11-26 16:00:00,,0.0,59.13,39.01,245.5,343.52,47.83,85.0,4005.43
2020-11-26 17:00:00,,0.0,51.98,30.4,229.77,319.4,37.1,84.31,3685.0
2020-11-26 18:00:00,,0.12,42.92,19.76,174.77,238.31,20.56,78.14,2723.69
2020-11-26 19:00:00,,2.5,32.42,11.65,114.3,149.46,4.47,67.17,1695.63
2020-11-26 20:00:00,,9.39,26.7,9.88,90.01,113.31,0.82,54.84,1308.44
2020-11-26 21:00:00,,18.06,27.66,9.5,82.03,100.6,0.18,47.3,1134.87
2020-11-26 22:00:00,,31.11,29.56,8.99,77.06,92.05,0.03,39.76,974.66
2020-11-26 23:00:00,,38.98,28.37,8.61,73.1,86.42,0.01,34.62,894.55
2020-11-27 00:00:00,,38.98,28.13,8.61,71.17,84.01,0.01,33.59,894.55
2020-11-27 01:00:00,,28.61,32.42,10.39,77.66,93.52,0.15,40.44,1068.12
2020-11-27 02:00:00,,10.01,40.53,14.95,93.87,117.18,2.65,55.52,1441.96
2020-11-27 03:00:00,,11.36,47.21,17.99,100.66,128.85,15.42,53.47,1668.93
2020-11-27 04:00:00,,23.96,54.84,20.77,101.94,132.24,23.47,47.3,1708.98
2020-11-27 05:00:00,,37.91,61.99,23.56,102.47,134.15,22.35,45.93,1655.58
2020-11-27 06:00:00,,57.94,66.76,22.29,96.21,124.64,16.99,45.24,1455.31
2020-11-27 07:00:00,,89.41,54.84,14.57,65.04,82.8,8.38,33.24,947.95
2020-11-27 08:00:00,,107.29,48.16,13.05,60.21,75.19,5.76,29.13,814.44
2020-11-27 09:00:00,,117.3,49.11,14.06,66.66,81.87,4.69,30.5,814.44
2020-11-27 10:00:00,,107.29,52.93,19.0,84.8,105.35,5.53,45.93,1148.22
2020-11-27 11:00:00,,75.1,53.88,24.57,105.82,134.28,5.64,72.66,1655.58
2020-11-27 12:00:00,,30.4,51.02,28.88,118.21,151.31,1.69,104.19,2082.82
2020-11-27 13:00:00,,7.06,50.07,34.45,135.62,173.83,2.68,112.41,2403.26
2020-11-27 14:00:00,,7.96,49.59,39.52,154.47,198.73,2.18,101.45,2510.07
2020-11-27 15:00:00,,18.95,45.78,41.04,163.42,209.55,0.4,87.05,2376.56
